Row,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G28370,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
AT1G36060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
AT1G43160,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
AT1G52890,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1
AT1G57560,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0
AT1G64380,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
AT1G67100,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0
AT1G74840,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1
AT2G23340,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1
AT2G45160,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1
AT3G03660,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1
AT3G06740,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1
AT3G19580,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
AT3G23240,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
AT3G25730,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
AT3G49930,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0
AT3G58190,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
AT3G60390,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
AT3G61630,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1
AT4G11140,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
AT4G17500,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
AT4G28110,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
AT4G31550,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
AT4G37540,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1
AT5G06710,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1
AT5G08330,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0
AT5G39610,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
AT5G41570,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
AT5G43170,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0
AT5G44260,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1
AT5G47220,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1
AT5G47230,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1
AT5G47640,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
AT5G53980,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1
AT5G67060,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
