Transcription factor,Promoter,GENE NAME,Reg_ATP,Tar_ATP,BDeu,BDeu_lower_index,BDeu_upper_index
AT5G61590,AT5G15630,"COBL4,IRX6",6.0,3.0,-29.6696498297,100,196
AT4G37260,AT5G15630,"COBL4,IRX6",6.0,3.0,-29.6696498297,100,196
AT5G47230,AT5G15630,"COBL4,IRX6",3.0,3.0,-15.6718168816,12,18
AT3G15210,AT5G15630,"COBL4,IRX6",1.0,3.0,-17.2812507941,35,36
AT1G21910,AT5G15630,"COBL4,IRX6",6.0,3.0,-28.9765038992,37,100
AT5G47220,AT5G15630,"COBL4,IRX6",3.0,3.0,-28.9765038992,37,100
AT5G13910,AT5G15630,"COBL4,IRX6",2.0,3.0,-28.9765038992,37,100
AT1G28370,AT5G15630,"COBL4,IRX6",3.0,3.0,-28.9765038992,37,100
AT3G18400,AT5G15630,"COBL4,IRX6",6.0,3.0,-29.6696498297,100,196
AT3G25730,AT5G15630,"COBL4,IRX6",3.0,3.0,-28.9765038992,37,100
AT1G75490,AT5G15630,"COBL4,IRX6",6.0,3.0,-15.3841356425,0,12
AT2G44940,AT5G15630,"COBL4,IRX6",6.0,3.0,-29.6696498297,100,196
